Q,A,label
예금이란?,은행이 공신력을 바탕으로 하여 일정한 이자지급등을 조건으로 개인이나 기업의 여유자금을 수납하는 것을 의미합니다. 은행이 받아 들인다는 의미에서 수신이라고 합니다.,0
예금상품은 뭐가 있나요?,애큐온모바일자유예금 애큐온다모아자유예금 플러스자유예금 보통예금 등이 있습니다.,0
예금상품 종류는?,애큐온모바일자유예금 애큐온다모아자유예금 플러스자유예금 보통예금 등이 있습니다.,0
입출금이 자유로운 예금,예금주의지급요구가 있으면 언제라도 조건 없이 지급에 응하여야하는 예금으로 저축성예금에 비하여 이율이 낮으며 예치기간에 아무런 제한이 없고 비교적 단기예금을 말합니다.,0
입출금 상품,고수익자유예금/플러스자유예금/보통예금/기업자유예금/저축예금/애큐온모바일자유예금/애큐온다모아자유예금이 있습니다.,0
거치식 예금,예치금액/예치기간을 정하여 자금을 예치하고 그 기한 내에는 지급청구를 하지 않기로 하는 예금입니다. 정기예금/표지어음/자유적립예금이 있습니다.,0
적립식 예금,기간을 정하고 그 기간 중에 미리 정한 금액이나 불특정 금액을 정기 또는 부정기적으로 입금하는 예금 입니다. 신용부금/정기적금/애큐온재형저축/장기주택마련저축이 있습니다.,0
절세 예금,이자 소득에 대한 세금 감면 및 소득공제 혜택을 볼 수 있는 예금 입니다. 비과세종합저축/애큐온재형저축/장기주택마련저축이 있습니다.,0
예금자 보호제도 의의,금융기관이 영업정지나 파산 등으로 고객의 예금을 지급하지 못하게 될 경우를 방지하기 위하여 우리나라에서는 예금자보호법을 제정하여 고객들의 예금을 보호하는 제도를 갖추어 놓고 있는데 이를 '예금자보호제도'라고 합니다.,0
보호대상 예금,저축은행이 취급하는 부금/예금 및 적금/표지어음 등 단 정부/지방자치단체/한국은행/금융감독원/예금보험공사 및 다른 부보 금융기관의 예금등은 보호대상에서 제외됩니다.,0
보통예금,금융거래의 기본계좌/입출금 자유로운 예금의 대표적 상품/인터넷뱅킹 모바일뱅킹 기본계좌로 활용가능/예적금담보대출 불가상품 및 타행에게 양도 및 담보설정 불가 상품 입니다.,0
애큐온모바일자유예금,모바일전용상품/우대금리부여:기본금리 0.0% + 모바일우대 0.1% + 멤버십동의 0.1%/우대이율 제공은 해당월초일(또는 신규가입일)부터 말일까지의 멤버십가입 여부 충족 확인하여 적용하는 상품 입니다.,0
오픈뱅킹을 통한 계좌 이체는 얼마까지 가능한가요?,오픈뱅킹 이체는 전 금융사 합산 1일 1천만원입니다.,0
오픈뱅킹 계좌 이체?,오픈뱅킹 이체는 전 금융사 합산 1일 1천만원입니다.,0
오픈뱅킹 이체 한도?,오픈뱅킹 이체는 전 금융사 합산 1일 1천만원입니다.,0
오픈뱅킹은 어디에서 이용할 수 있나요?,당행 오픈뱅킹 서비스는 모바일뱅킹에서 이용가능합니다.,0
